Name,Year,Win,Loss,Goal_for,Goal_against
Hartford Whalers,1995,34,39,237,259
Los Angeles Kings,1995,24,40,256,302
Montreal Canadiens,1995,40,32,265,248
New Jersey Devils,1995,37,33,215,202
New York Islanders,1995,22,50,229,315
New York Rangers,1995,41,27,272,237
Ottawa Senators,1995,18,59,191,291
Philadelphia Flyers,1995,45,24,282,208
Pittsburgh Penguins,1995,49,29,362,284
San Jose Sharks,1995,20,55,252,357
St. Louis Blues,1995,32,34,219,248
Tampa Bay Lightning,1995,38,32,238,248
Toronto Maple Leafs,1995,34,36,247,252
Vancouver Canucks,1995,32,35,278,278
Washington Capitals,1995,39,32,234,204
Winnipeg Jets,1995,36,40,275,291
Mighty Ducks of Anaheim,1996,36,33,245,233
Boston Bruins,1996,26,47,234,300
Buffalo Sabres,1996,40,30,237,208
Calgary Flames,1996,32,41,214,239
Chicago Blackhawks,1996,34,35,223,210
Colorado Avalanche,1996,49,24,277,205
Dallas Stars,1996,48,26,252,198
Detroit Red Wings,1996,38,26,253,197
Edmonton Oilers,1996,36,37,252,247
Florida Panthers,1996,35,28,221,201
Hartford Whalers,1996,32,39,226,256
Los Angeles Kings,1996,28,43,214,268
Montreal Canadiens,1996,31,36,249,276
New Jersey Devils,1996,45,23,231,182
New York Islanders,1996,29,41,240,250
New York Rangers,1996,38,34,258,231
Ottawa Senators,1996,31,36,226,234
Philadelphia Flyers,1996,45,24,274,217
Phoenix Coyotes,1996,38,37,240,243
Pittsburgh Penguins,1996,38,36,285,280
San Jose Sharks,1996,27,47,211,278
St. Louis Blues,1996,36,35,236,239
Tampa Bay Lightning,1996,32,40,217,247
Toronto Maple Leafs,1996,30,44,230,273
Vancouver Canucks,1996,35,40,257,273
Washington Capitals,1996,33,40,214,231
Mighty Ducks of Anaheim,1997,26,43,205,261
Boston Bruins,1997,39,30,221,194
Buffalo Sabres,1997,36,29,211,187
Calgary Flames,1997,26,41,217,252
Carolina Hurricanes,1997,33,41,200,219
Chicago Blackhawks,1997,30,39,192,199
Colorado Avalanche,1997,39,26,231,205
Dallas Stars,1997,49,22,242,167
Detroit Red Wings,1997,44,23,250,196
Edmonton Oilers,1997,35,37,215,224
Florida Panthers,1997,24,43,203,256
Los Angeles Kings,1997,38,33,227,225
Montreal Canadiens,1997,37,32,235,208
New Jersey Devils,1997,48,23,225,166
New York Islanders,1997,30,41,212,225
New York Rangers,1997,25,39,197,231
Ottawa Senators,1997,34,33,193,200
Philadelphia Flyers,1997,42,29,242,193
Phoenix Coyotes,1997,35,35,224,227
Pittsburgh Penguins,1997,40,24,228,188
San Jose Sharks,1997,34,38,210,216
St. Louis Blues,1997,45,29,256,204
Tampa Bay Lightning,1997,17,55,151,269
Toronto Maple Leafs,1997,30,43,194,237
Vancouver Canucks,1997,25,43,224,273
Washington Capitals,1997,40,30,219,202
Mighty Ducks of Anaheim,1998,35,34,215,206
Boston Bruins,1998,39,30,214,181
Buffalo Sabres,1998,37,28,207,175
Calgary Flames,1998,30,40,211,234
Carolina Hurricanes,1998,34,30,210,202
Chicago Blackhawks,1998,29,41,202,248
Colorado Avalanche,1998,44,28,239,205
Dallas Stars,1998,51,19,236,168
Detroit Red Wings,1998,43,32,245,202
Edmonton Oilers,1998,33,37,230,226
Florida Panthers,1998,30,34,210,228
Los Angeles Kings,1998,32,45,189,222
Montreal Canadiens,1998,32,39,184,209
Nashville Predators,1998,28,47,190,261
New Jersey Devils,1998,47,24,248,196
New York Islanders,1998,24,48,194,244
New York Rangers,1998,33,38,217,227
Ottawa Senators,1998,44,23,239,179
Philadelphia Flyers,1998,37,26,231,196
Phoenix Coyotes,1998,39,31,205,197
Pittsburgh Penguins,1998,38,30,242,225
San Jose Sharks,1998,31,33,196,191
St. Louis Blues,1998,37,32,237,209
Tampa Bay Lightning,1998,19,54,179,292
Toronto Maple Leafs,1998,45,30,268,231
Vancouver Canucks,1998,23,47,192,258
Washington Capitals,1998,31,45,200,218
Mighty Ducks of Anaheim,1999,34,33,217,227
Atlanta Thrashers,1999,14,57,170,313
Boston Bruins,1999,24,33,210,248
Buffalo Sabres,1999,35,32,213,204
Calgary Flames,1999,31,36,211,256
Carolina Hurricanes,1999,37,35,217,216
Chicago Blackhawks,1999,33,37,242,245
Colorado Avalanche,1999,42,28,233,201
Dallas Stars,1999,43,23,211,184
Detroit Red Wings,1999,48,22,278,210
Edmonton Oilers,1999,32,26,226,212
Florida Panthers,1999,43,27,244,209
Los Angeles Kings,1999,39,27,245,228
Montreal Canadiens,1999,35,34,196,194
Nashville Predators,1999,28,40,199,240
New Jersey Devils,1999,45,24,251,203
New York Islanders,1999,24,48,194,275
New York Rangers,1999,29,38,218,246
Ottawa Senators,1999,41,28,244,210
Philadelphia Flyers,1999,45,22,237,179
Phoenix Coyotes,1999,39,31,232,228
Pittsburgh Penguins,1999,37,31,241,236
San Jose Sharks,1999,35,30,225,214
St. Louis Blues,1999,51,19,248,165
Tampa Bay Lightning,1999,19,47,204,310
Toronto Maple Leafs,1999,45,27,246,222
Vancouver Canucks,1999,30,29,227,237
Washington Capitals,1999,44,24,227,194
Mighty Ducks of Anaheim,2000,25,41,188,245
Atlanta Thrashers,2000,23,45,211,289
Boston Bruins,2000,36,30,227,249
Buffalo Sabres,2000,46,30,218,184
Calgary Flames,2000,27,36,197,236
Carolina Hurricanes,2000,38,32,212,225
Columbus Blue Jackets,2000,28,39,190,233
Chicago Blackhawks,2000,29,40,210,246
Colorado Avalanche,2000,52,16,270,192
Dallas Stars,2000,48,24,241,187
Detroit Red Wings,2000,49,20,253,202
Edmonton Oilers,2000,39,28,243,222
Florida Panthers,2000,22,38,200,246
Los Angeles Kings,2000,38,28,252,228
Minnesota Wild,2000,25,39,168,210
Montreal Canadiens,2000,28,40,206,232
Nashville Predators,2000,34,36,186,200
New Jersey Devils,2000,48,19,295,195
New York Islanders,2000,21,51,185,268
New York Rangers,2000,33,43,250,290
Ottawa Senators,2000,48,21,274,205
Philadelphia Flyers,2000,43,25,240,207
Phoenix Coyotes,2000,35,27,214,212
Pittsburgh Penguins,2000,42,28,281,256
San Jose Sharks,2000,40,27,217,192
St. Louis Blues,2000,43,22,249,195
Tampa Bay Lightning,2000,24,47,201,280
Toronto Maple Leafs,2000,37,29,232,207
Vancouver Canucks,2000,36,28,239,238
Washington Capitals,2000,41,27,233,211
Mighty Ducks of Anaheim,2001,29,42,175,198
Atlanta Thrashers,2001,19,47,187,288
Boston Bruins,2001,43,24,236,201
Buffalo Sabres,2001,35,35,213,200
Calgary Flames,2001,32,35,201,220
Carolina Hurricanes,2001,35,26,217,217
Columbus Blue Jackets,2001,22,47,164,255
Chicago Blackhawks,2001,41,27,216,207
Colorado Avalanche,2001,45,28,212,169
Dallas Stars,2001,36,28,215,213
Detroit Red Wings,2001,51,17,251,187
Edmonton Oilers,2001,38,28,205,182
Florida Panthers,2001,22,44,180,250
Los Angeles Kings,2001,40,27,214,190
Minnesota Wild,2001,26,35,195,238
Montreal Canadiens,2001,36,31,207,209
Nashville Predators,2001,28,41,196,230
New Jersey Devils,2001,41,28,205,187
New York Islanders,2001,42,28,239,220
New York Rangers,2001,36,38,227,258
Ottawa Senators,2001,39,27,243,208
Philadelphia Flyers,2001,42,27,234,192
Phoenix Coyotes,2001,40,27,228,210
Pittsburgh Penguins,2001,28,41,198,249
San Jose Sharks,2001,44,27,248,199
St. Louis Blues,2001,43,27,227,188
Tampa Bay Lightning,2001,27,40,178,219
Toronto Maple Leafs,2001,43,25,249,207
Vancouver Canucks,2001,42,30,254,211
Washington Capitals,2001,36,33,228,240
Mighty Ducks of Anaheim,2002,40,27,203,193
Atlanta Thrashers,2002,31,39,226,284
Boston Bruins,2002,36,31,245,237
Buffalo Sabres,2002,27,37,190,219
Calgary Flames,2002,29,36,186,228
Carolina Hurricanes,2002,22,43,171,240
Columbus Blue Jackets,2002,29,42,213,263
Chicago Blackhawks,2002,30,33,207,226
Colorado Avalanche,2002,42,19,251,194
Dallas Stars,2002,46,17,245,169
Detroit Red Wings,2002,48,20,269,203
Edmonton Oilers,2002,36,26,231,230
Florida Panthers,2002,24,36,176,237
Los Angeles Kings,2002,33,37,203,221
Minnesota Wild,2002,42,29,198,178
Montreal Canadiens,2002,30,35,206,234
Nashville Predators,2002,27,35,183,206
New Jersey Devils,2002,46,20,216,166
New York Islanders,2002,35,34,224,231
New York Rangers,2002,32,36,210,231
Ottawa Senators,2002,52,21,263,182
Philadelphia Flyers,2002,45,20,211,166
Phoenix Coyotes,2002,31,35,204,230
Pittsburgh Penguins,2002,27,44,189,255
San Jose Sharks,2002,28,37,214,239
St. Louis Blues,2002,41,24,253,222
Tampa Bay Lightning,2002,36,25,219,210
Toronto Maple Leafs,2002,44,28,236,208
Vancouver Canucks,2002,45,23,264,208
Washington Capitals,2002,39,29,224,220
Mighty Ducks of Anaheim,2003,29,35,184,213
Atlanta Thrashers,2003,33,37,214,243
Boston Bruins,2003,41,19,209,188
Buffalo Sabres,2003,37,34,220,221
Calgary Flames,2003,42,30,200,176
Carolina Hurricanes,2003,28,34,172,209
Columbus Blue Jackets,2003,25,45,177,238
Chicago Blackhawks,2003,20,43,188,259
Colorado Avalanche,2003,40,22,236,198
Dallas Stars,2003,41,26,194,175
Detroit Red Wings,2003,48,21,255,189
Edmonton Oilers,2003,36,29,221,208
Florida Panthers,2003,28,35,188,221
Los Angeles Kings,2003,28,29,205,217
Minnesota Wild,2003,30,29,188,183
Montreal Canadiens,2003,41,30,208,192
Nashville Predators,2003,38,29,216,217
New Jersey Devils,2003,43,25,213,164
New York Islanders,2003,38,29,237,210
New York Rangers,2003,27,40,206,250
Ottawa Senators,2003,43,23,262,189
Philadelphia Flyers,2003,40,21,229,186
Phoenix Coyotes,2003,22,36,188,245
Pittsburgh Penguins,2003,23,47,190,303
San Jose Sharks,2003,43,21,219,183
St. Louis Blues,2003,39,30,191,198
Tampa Bay Lightning,2003,46,22,245,192
Toronto Maple Leafs,2003,45,24,242,204
Vancouver Canucks,2003,43,24,235,194
Washington Capitals,2003,23,46,186,253
Mighty Ducks of Anaheim,2005,43,27,254,229
Atlanta Thrashers,2005,41,33,281,275
Boston Bruins,2005,29,37,230,266
Buffalo Sabres,2005,52,24,281,239
Calgary Flames,2005,46,25,218,200
Carolina Hurricanes,2005,52,22,294,260
Columbus Blue Jackets,2005,35,43,223,279
Chicago Blackhawks,2005,26,43,211,285
Colorado Avalanche,2005,43,30,283,257
Dallas Stars,2005,53,23,265,218
Detroit Red Wings,2005,58,16,305,209
Edmonton Oilers,2005,41,28,256,251
Florida Panthers,2005,37,34,240,257
Los Angeles Kings,2005,42,35,249,270
Minnesota Wild,2005,38,36,231,215
Montreal Canadiens,2005,42,31,243,247
Nashville Predators,2005,49,25,259,227
New Jersey Devils,2005,46,27,242,229
New York Islanders,2005,36,40,230,278
New York Rangers,2005,44,26,257,215
Ottawa Senators,2005,52,21,314,211
Philadelphia Flyers,2005,45,26,267,259
Phoenix Coyotes,2005,38,39,246,271
Pittsburgh Penguins,2005,22,46,244,316
San Jose Sharks,2005,44,27,266,242
St. Louis Blues,2005,21,46,197,292
Tampa Bay Lightning,2005,43,33,252,260
Toronto Maple Leafs,2005,41,33,257,270
Vancouver Canucks,2005,42,32,256,255
Washington Capitals,2005,29,41,237,306
Anaheim Ducks,2006,48,20,258,208
Atlanta Thrashers,2006,43,28,246,245
Boston Bruins,2006,35,41,219,289
Buffalo Sabres,2006,53,22,308,242
Calgary Flames,2006,43,29,258,226
Carolina Hurricanes,2006,40,34,241,253
Columbus Blue Jackets,2006,33,42,201,249
Chicago Blackhawks,2006,31,42,201,258
Colorado Avalanche,2006,44,31,272,251
Dallas Stars,2006,50,25,226,197
Detroit Red Wings,2006,50,19,254,199
Edmonton Oilers,2006,32,43,195,248
Florida Panthers,2006,35,31,247,257
Los Angeles Kings,2006,27,41,227,283
Minnesota Wild,2006,48,26,235,191
Montreal Canadiens,2006,42,34,245,256
Nashville Predators,2006,51,23,272,212
New Jersey Devils,2006,49,24,216,201
New York Islanders,2006,40,30,248,240
New York Rangers,2006,42,30,242,216
Ottawa Senators,2006,48,25,288,222
Philadelphia Flyers,2006,22,48,214,303
Phoenix Coyotes,2006,31,46,216,284
Pittsburgh Penguins,2006,47,24,277,246
San Jose Sharks,2006,51,26,258,199
St. Louis Blues,2006,34,35,214,254
Tampa Bay Lightning,2006,44,33,253,261
Toronto Maple Leafs,2006,40,31,258,269
Vancouver Canucks,2006,49,26,222,201
Washington Capitals,2006,28,40,235,286
Anaheim Ducks,2007,47,27,205,191
Atlanta Thrashers,2007,34,40,216,272
Boston Bruins,2007,41,29,212,222
Buffalo Sabres,2007,39,31,255,242
Calgary Flames,2007,42,30,229,227
Carolina Hurricanes,2007,43,33,252,249
Columbus Blue Jackets,2007,34,36,193,218
Chicago Blackhawks,2007,40,34,239,235
Colorado Avalanche,2007,44,31,231,219
Dallas Stars,2007,45,30,242,207
Detroit Red Wings,2007,54,21,257,184
Edmonton Oilers,2007,41,35,235,251
Florida Panthers,2007,38,35,216,226
Los Angeles Kings,2007,32,43,231,266
Minnesota Wild,2007,44,28,223,218
Montreal Canadiens,2007,47,25,262,222
Nashville Predators,2007,41,32,230,229
New Jersey Devils,2007,46,29,206,197
New York Islanders,2007,35,38,194,243
New York Rangers,2007,42,27,213,199
Ottawa Senators,2007,43,31,261,247
Philadelphia Flyers,2007,42,29,248,233
Phoenix Coyotes,2007,38,37,214,231
Pittsburgh Penguins,2007,47,27,247,216
San Jose Sharks,2007,49,23,222,193
St. Louis Blues,2007,33,36,205,237
Tampa Bay Lightning,2007,31,42,223,267
Toronto Maple Leafs,2007,36,35,231,260
Vancouver Canucks,2007,39,33,213,215
Washington Capitals,2007,43,31,242,231
Anaheim Ducks,2008,42,33,245,238
Atlanta Thrashers,2008,35,41,257,280
Boston Bruins,2008,53,19,274,196
Buffalo Sabres,2008,41,32,250,234
Calgary Flames,2008,46,30,254,248
Carolina Hurricanes,2008,45,30,239,226
Columbus Blue Jackets,2008,41,31,226,230
Chicago Blackhawks,2008,46,24,264,216
Colorado Avalanche,2008,32,45,199,257
Dallas Stars,2008,36,35,230,257
Detroit Red Wings,2008,51,21,295,244
Edmonton Oilers,2008,38,35,234,248
Florida Panthers,2008,41,30,234,231
Los Angeles Kings,2008,34,37,207,234
Minnesota Wild,2008,40,33,219,200
Montreal Canadiens,2008,41,30,249,247
Nashville Predators,2008,40,34,213,233
New Jersey Devils,2008,51,27,244,209
New York Islanders,2008,26,47,201,279
New York Rangers,2008,43,30,210,218
Ottawa Senators,2008,36,35,217,237
Philadelphia Flyers,2008,44,27,264,238
Phoenix Coyotes,2008,36,39,208,252
Pittsburgh Penguins,2008,45,28,264,239
San Jose Sharks,2008,53,18,257,204
St. Louis Blues,2008,41,31,233,233
Tampa Bay Lightning,2008,24,40,210,279
Toronto Maple Leafs,2008,34,35,250,293
Vancouver Canucks,2008,45,27,246,220
Washington Capitals,2008,50,24,272,245
Anaheim Ducks,2009,39,32,238,251
Atlanta Thrashers,2009,35,34,234,256
Boston Bruins,2009,39,30,206,200
Buffalo Sabres,2009,45,27,235,207
Calgary Flames,2009,40,32,204,210
Carolina Hurricanes,2009,35,37,230,256
Columbus Blue Jackets,2009,32,35,216,259
Chicago Blackhawks,2009,52,22,271,209
Colorado Avalanche,2009,43,30,244,233
Dallas Stars,2009,37,31,237,254
Detroit Red Wings,2009,44,24,229,216
Edmonton Oilers,2009,27,47,214,284
Florida Panthers,2009,32,37,208,244
Los Angeles Kings,2009,46,27,241,219
Minnesota Wild,2009,38,36,219,246
Montreal Canadiens,2009,39,33,217,223
Nashville Predators,2009,47,29,225,225
New Jersey Devils,2009,48,27,222,191
New York Islanders,2009,34,37,222,264
New York Rangers,2009,38,33,222,218
Ottawa Senators,2009,44,32,225,238
Philadelphia Flyers,2009,41,35,236,225
Phoenix Coyotes,2009,50,25,225,202
Pittsburgh Penguins,2009,47,28,257,237
San Jose Sharks,2009,51,20,264,215
St. Louis Blues,2009,40,32,225,223
Tampa Bay Lightning,2009,34,36,217,260
Toronto Maple Leafs,2009,30,38,214,267
Vancouver Canucks,2009,49,28,272,222
Washington Capitals,2009,54,15,318,233
Anaheim Ducks,2010,47,30,239,235
Atlanta Thrashers,2010,34,36,223,269
Boston Bruins,2010,46,25,246,195
Buffalo Sabres,2010,43,29,245,229
Calgary Flames,2010,41,29,250,237
Carolina Hurricanes,2010,40,31,236,239
Columbus Blue Jackets,2010,34,35,215,258
Chicago Blackhawks,2010,44,29,258,225
Colorado Avalanche,2010,30,44,227,288
Dallas Stars,2010,42,29,227,233
Detroit Red Wings,2010,47,25,261,241
Edmonton Oilers,2010,25,45,193,269
Florida Panthers,2010,30,40,195,229
Los Angeles Kings,2010,46,30,219,198
Minnesota Wild,2010,39,35,206,233
Montreal Canadiens,2010,44,30,216,209
Nashville Predators,2010,44,27,219,194
New Jersey Devils,2010,38,39,174,209
New York Islanders,2010,30,39,229,264
New York Rangers,2010,44,33,233,198
Ottawa Senators,2010,32,40,192,250
Philadelphia Flyers,2010,47,23,259,223
Phoenix Coyotes,2010,43,26,231,226
Pittsburgh Penguins,2010,49,25,238,199
San Jose Sharks,2010,48,25,248,213
St. Louis Blues,2010,38,33,240,234
Tampa Bay Lightning,2010,46,25,247,240
Toronto Maple Leafs,2010,37,34,218,251
Vancouver Canucks,2010,54,19,262,185
Washington Capitals,2010,48,23,224,197
Anaheim Ducks,2011,34,36,204,231
Boston Bruins,2011,49,29,269,202
Buffalo Sabres,2011,39,32,218,230
Calgary Flames,2011,37,29,202,226
Carolina Hurricanes,2011,33,33,213,243
Columbus Blue Jackets,2011,29,46,202,262
Chicago Blackhawks,2011,45,26,248,238
Colorado Avalanche,2011,41,35,208,220
Dallas Stars,2011,42,35,211,222
Detroit Red Wings,2011,48,28,248,203
Edmonton Oilers,2011,32,40,212,239
Florida Panthers,2011,38,26,203,227
Los Angeles Kings,2011,40,27,194,179
Minnesota Wild,2011,35,36,177,226
Montreal Canadiens,2011,31,35,212,226
Nashville Predators,2011,48,26,237,210
New Jersey Devils,2011,48,28,228,209
New York Islanders,2011,34,37,203,255
New York Rangers,2011,51,24,226,187
Ottawa Senators,2011,41,31,249,240
Philadelphia Flyers,2011,47,26,264,232
Phoenix Coyotes,2011,42,27,216,204
Pittsburgh Penguins,2011,51,25,282,221
San Jose Sharks,2011,43,29,228,210
St. Louis Blues,2011,49,22,210,165
Tampa Bay Lightning,2011,38,36,235,281
Toronto Maple Leafs,2011,35,37,231,264
Vancouver Canucks,2011,51,22,249,198
Washington Capitals,2011,42,32,222,230
Winnipeg Jets,2011,37,35,225,246
